mois,nb_mesures,nb_parcelles,taux_moyen,taux_median,sol_simple
2017-11,722,114,0.20219501385041552,0.0496,Ferralsol
2017-12,411,77,0.41791253041362536,0.00165,Ferralsol
2018-01,498,109,0.02648315261044177,0.00101,Andosol
2018-02,835,148,0.20970760479041917,0.00165,Andosol
2018-03,686,115,0.10451413994169095,0.00165,Andosol
2018-04,430,32,0.5586405813953489,0.00165,Andosol
2018-05,786,58,0.05392328244274809,0.0020499999999999997,Vertisol
2018-06,575,68,0.22785747826086955,0.0031,Ferralsol
2018-07,1041,101,0.07645096061479346,0.0021,Andosol
2018-08,878,79,0.018604726651480635,0.0005,Andosol
2018-09,695,65,0.15154093525179857,0.0011,Vertisol
2018-10,914,86,0.030300765864332606,0.0005,Nitisol
2018-11,903,87,0.0757608527131783,0.00165,Nitisol
2018-12,513,49,0.0170411306042885,0.0012,Andosol
2019-01,495,39,0.22072121212121212,0.0085,No data
2019-02,656,66,0.006808993902439025,0.0005,Ferralsol
2019-03,520,43,0.04164730769230769,0.0013,Vertisol
2019-07,291,31,0.13283024054982817,0.0047,Andosol
