ID,commune,sol_simple,pluie,taux_moyen,taux_med,pente_moy,tri_moy,tpi_moy,rug_moy,omb_moy,expo_moy,X,Y,nb_mesures,histo_banane,longitude,latitude,niveau_risque,nb_parcelles,taux_moy_commune,taux_med_commune,part_risque_eleve,risque_95
20003,LAMENTIN(LE),"Alluvium, Colluvium",2000-3000,3.6,3.6,0.490534358274819,0.0935582943239059,0.0055953313609430014,0.4058737619986555,181.239207095332,101.77092888627496,717421.3516682795,1618159.12410558,2,2,-60.98143037268249,14.62808854512747,élevé,272.0,0.20619485294117648,0.00165,0.0,True
20005,BASSE-POINTE,Andosol,2000-3000,2.7,2.7,8.485381144581792,1.7196591494585882,-0.18808472162994755,5.523920167316121,175.27346855047972,66.75345198514759,703058.4333766268,1643917.1914754936,11,2,-61.112719409588124,14.861968439031774,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20007,BASSE-POINTE,Andosol,2000-3000,1.9,1.9,6.327346850314966,1.3063393201114932,-0.06530259522826766,4.174765991206064,180.18880628314005,52.96446472987593,705535.6287654124,1642642.0715356062,23,2,-61.08980606697978,14.850255744070742,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20009,BASSE-POINTE,Andosol,2000-3000,2.7,2.7,6.355676012343152,1.264843881293274,0.014646786708186066,4.156834357807595,183.73191121421695,27.530769337847637,702246.5392360094,1643861.7296660908,14,3,-61.12026680597737,14.861529144860864,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20013,MORNE-ROUGE(LE),Andosol,2000-3000,11.3,11.3,7.421470194635008,1.504570211473189,-0.40855958098149775,4.599633992521339,188.73012673369254,242.64143373548654,702331.961367293,1633047.7307054563,40,2,-61.120316154787105,14.763802156746166,élevé,174.0,1.9773333333333332,0.044,0.0,True
20015,LAMENTIN(LE),"Alluvium, Colluvium",2000-3000,3.5,3.5,9.584602936438065,1.953542570154992,0.49755517259857424,6.038274978594434,186.61075640363666,240.52543342506428,717347.1725411498,1618955.1996660044,18,1,-60.98205300432614,14.635287751274255,élevé,272.0,0.20619485294117648,0.00165,0.0,True
20017,MORNE-ROUGE(LE),No data,2000-3000,6.8,6.8,7.955907195029422,1.9687149251994915,-0.6781947485651117,5.681894323141834,179.4614078807456,198.65571713255804,702415.6191195213,1632820.0045921358,122,1,-61.11955695738645,14.76173798194725,élevé,174.0,1.9773333333333332,0.044,0.0,True
20021,SAINTE-MARIE,Andosol,2000-3000,3.2999999999999994,3.3,11.321359397657515,2.82869685234458,1.2250292810169272,9.041102338842297,162.579456869652,139.47419638506832,711886.0145581248,1636234.9433477132,6,3,-61.031335124072214,14.791862858110226,élevé,202.0,0.3295316831683168,0.01515,0.0,True
20025,LAMENTIN(LE),Nitisol,2000-3000,2.0,2.0,3.2463690270395857,0.642715019066419,0.13389148965465442,2.023801252736266,175.3997281590284,155.43200547476323,716100.3493880617,1622038.303693492,5,1,-60.99337045176684,14.66324646529112,élevé,272.0,0.20619485294117648,0.00165,0.0,True
20027,LAMENTIN(LE),Ferralsol,2000-3000,1.9,1.9,11.401270090550923,2.527389499581676,0.38766231590445027,7.831983045770142,176.15059993505298,215.26765892247673,717203.400219205,1621417.2920908448,14,2,-60.98318380748952,14.657546466179827,élevé,272.0,0.20619485294117648,0.00165,0.0,True
20035,LAMENTIN(LE),Nitisol,2000-3000,2.2,2.2,21.791791967280755,4.462968647352327,-1.5386278496651342,14.814442484317956,169.112543622003,211.54207520889688,716331.4388805181,1622646.5524605028,7,2,-60.99117544402396,14.66872401165365,élevé,272.0,0.20619485294117648,0.00165,0.0,True
20065,BASSE-POINTE,Andosol,2000-3000,3.5,3.5,6.2978194779406795,1.3528975672988222,-0.014691758666379609,3.915141048542925,176.53453636533976,73.81645733254709,704353.242902683,1643281.5546512231,35,2,-61.10074002353374,14.856125402548809,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20067,MARIGOT(LE),Andosol,2000-3000,1.9,1.9,23.669198950596428,5.2441349516839,-0.5397227118655316,16.04005133773417,197.7133440384679,245.8361501020817,710671.7520660217,1638171.2909381064,49,2,-61.042455285947675,14.809455861034092,élevé,59.0,0.22913983050847456,0.0199,0.0,True
20069,MARIGOT(LE),Nitisol,2000-3000,2.0,2.0,20.4864633470364,4.3447420307983275,0.4409711678502374,13.54291707855435,202.5293004305584,243.24634177948997,710784.873927586,1637953.6467966314,56,3,-61.041422273951476,14.807480281607067,élevé,59.0,0.22913983050847456,0.0199,0.0,True
20071,MACOUBA,Andosol,2000-3000,1.5,1.5,25.508277071300746,5.334991444084778,0.0992888488816236,16.886129377756156,142.0274834062802,101.88174323143568,700191.8736316209,1643627.782234791,220,3,-61.13937429330352,14.859570566089921,élevé,35.0,1.229742857142857,0.6841,0.0,True
20073,MACOUBA,No data,2000-3000,0.9,0.9,19.01684064598203,4.43016320284481,0.8787741775930298,13.850092901278963,167.92638561934567,128.2739565873657,699959.9412343876,1643379.1670338635,66,1,-61.14154833063786,14.857341391298235,élevé,35.0,1.229742857142857,0.6841,0.0,True
20074,MACOUBA,Andosol,2000-3000,1.3,1.3,14.25543167019244,2.9229811775000654,0.1984985938226236,9.380718288011002,186.43485629995268,147.8278188047984,699450.7184825382,1642757.255176745,76,1,-61.14632727636536,14.8517596693981,élevé,35.0,1.229742857142857,0.6841,0.0,True
20076,BASSE-POINTE,Andosol,2000-3000,1.8299999999999998,1.83,25.342219213110223,5.255854978233727,1.8049455967904087,16.79232044436764,168.52162223855186,62.19839863118583,704697.0159876416,1643777.7469425197,26,1,-61.09750698643895,14.860582724797297,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20105,MACOUBA,No data,2000-3000,4.5,4.5,37.55348669211408,8.236759824917444,1.0333254071347828,23.400818366909693,121.53961880356427,143.26056938968406,701321.970390768,1645101.5285177229,55,1,-61.128760155750605,14.872802734893105,élevé,35.0,1.229742857142857,0.6841,0.0,True
20107,BASSE-POINTE,Andosol,2000-3000,2.4,2.4,18.488679192711327,3.869100076670152,0.8773572638838738,11.908686465598759,149.09651515345107,109.7546991947265,701748.0118219268,1642455.4032401275,20,1,-61.12500813792152,14.848858787897475,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20111,BASSE-POINTE,No data,2000-3000,9.3,9.3,8.43012044144072,1.735843237034826,0.11195038305564586,5.523401303255152,167.01245146886262,111.39680609808389,703507.996437312,1642892.126109184,37,1,-61.10862331290792,14.852671179821778,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20112,MORNE-ROUGE(LE),Andosol,2000-3000,0.59,0.59,21.673474535461583,4.366596265793218,1.4413186618016607,12.199487773978758,156.3309947495756,92.59222424881483,702297.5200428992,1633555.1985408606,36,1,-61.120596581882396,14.768390502947746,modéré,174.0,1.9773333333333332,0.044,0.0,False
20113,GROS-MORNE,Andosol,2000-3000,3.74,3.74,17.22120122533186,3.4675677920573724,-0.05126193101886408,11.690713519510858,171.3919345638809,206.95411204530666,714750.2652805191,1626850.5329632303,72,1,-61.00550709066753,14.706837470092372,élevé,216.0,0.2699752314814815,0.00165,0.0,True
20114,BASSE-POINTE,Andosol,2000-3000,5.0,5.0,6.9806704988754,1.4134156921098284,0.06389402901821838,4.7517633357363485,172.98448772150317,85.4108589013479,703147.8966114311,1642685.8913187915,50,3,-61.11198492310766,14.850835078579841,élevé,87.0,0.6227626436781609,0.0431,0.0,True
20115,MORNE-ROUGE(LE),Andosol,2000-3000,2.9,2.9,18.038489402027142,4.168615102506316,-0.7001440352406368,12.21905102625998,172.42936420784244,198.71581284746196,699296.7084793193,1633134.425974434,372,1,-61.14849672984884,14.764813266010044,élevé,174.0,1.9773333333333332,0.044,0.0,True
20120,LORRAIN(LE),Andosol,2000-3000,5.63,5.63,27.932509159794687,6.148707341012655,3.30969531418285,18.176188248115018,184.6810332573193,256.68509331413213,704770.2096610307,1638443.0947252747,40,1,-61.09724858983799,14.812371347590938,élevé,175.0,0.5524048571428571,0.126,0.0,True
